	data.cdc.gov	data.cms.gov	dnav.cms.gov	federated_sources	healthdata.gov_only	open.fda.gov
cdc.gov	2.0	0.0	0.0	1.0	2.0	0.0
data.cdc.gov	0.0	0.0	0.0	1.0	0.0	0.0
data.cms.gov	0.0	0.0	0.0	1.0	0.0	0.0
data.gov	0.0	0.0	0.0	1.0	0.0	0.0
fda.gov	0.0	0.0	0.0	1.0	0.0	0.0
hha.gov	0.0	0.0	0.0	1.0	0.0	0.0
hhs.gov	0.0	0.0	0.0	1.0	0.0	0.0
http://cms.gov/mmrr	0.0	0.0	3.0	1.0	0.0	0.0
http://opendatacommons.org/licenses/odbl/1.0	26.0	0.0	0.0	1.0	0.0	0.0
http://opendefinition.org/licenses/odc-odbl	0.0	0.0	0.0	0.0	1308.0	0.0
http://www.cms.gov/mmrr	0.0	0.0	44.0	1.0	0.0	0.0
http://www.dati.gov.it/iodl/2.0	1.0	1.0	0.0	1.0	0.0	0.0
http://www.healthdata.gov/data.json	0.0	0.0	0.0	0.0	1.0	0.0
http://www.resdac.org/cms-data	0.0	0.0	4.0	1.0	0.0	0.0
http://www.resdac.org/cms-data/request/cms-data-request-center	0.0	0.0	68.0	1.0	0.0	0.0
https://data.cdc.gov/data.json	1.0	0.0	0.0	1.0	0.0	0.0
https://data.cms.gov/data.json	0.0	1.0	0.0	1.0	0.0	0.0
https://project-open-data.cio.gov/v1.1/schema	1.0	1.0	0.0	1.0	1.0	1.0
https://project-open-data.cio.gov/v1.1/schema/catalog.json	1.0	1.0	0.0	1.0	1.0	0.0
https://project-open-data.cio.gov/v1.1/schema/catalog.jsonld	1.0	1.0	0.0	1.0	1.0	0.0
